EvaLee_direct,Zofia_direct,Yuri_direct,transcript_Eng,transcript_Chn
./audio_RA2/EvaLee/General/RA2_ceva021.mp3,./audio_RA2/Zofia/General/RA2_csof021.mp3,./audio_RA2/Yuri/General/RA2_cyur021.mp3,Critical structure lost.,损失关键建筑
./audio_RA2/EvaLee/General/RA2_ceva022.mp3,./audio_RA2/Zofia/General/RA2_csof022.mp3,./audio_RA2/Yuri/General/RA2_cyur022.mp3,You are victorious.,您胜利了
./audio_RA2/EvaLee/General/RA2_ceva023.mp3,./audio_RA2/Zofia/General/RA2_csof023.mp3,./audio_RA2/Yuri/General/RA2_cyur023.mp3,You have lost.,您败北了
./audio_RA2/EvaLee/General/RA2_ceva024.mp3,./audio_RA2/Zofia/General/RA2_csof024.mp3,./audio_RA2/Yuri/General/RA2_cyur024.mp3,You have resigned.,您弃权了
./audio_RA2/EvaLee/General/RA2_ceva025.mp3,./audio_RA2/Zofia/General/RA2_csof025.mp3,./audio_RA2/Yuri/General/RA2_cyur025.mp3,Player resigned.,玩家弃权了
./audio_RA2/EvaLee/General/RA2_ceva026.mp3,./audio_RA2/Zofia/General/RA2_csof026.mp3,./audio_RA2/Yuri/General/RA2_cyur026.mp3,Player defeated.,玩家被击败了
./audio_RA2/EvaLee/General/RA2_ceva027.mp3,./audio_RA2/Zofia/General/RA2_csof027.mp3,./audio_RA2/Yuri/General/RA2_cyur027.mp3,20 minutes remaining.,剩下20分钟
./audio_RA2/EvaLee/General/RA2_ceva028.mp3,./audio_RA2/Zofia/General/RA2_csof028.mp3,./audio_RA2/Yuri/General/RA2_cyur028.mp3,10 minutes remaining.,剩下10分钟
./audio_RA2/EvaLee/General/RA2_ceva029.mp3,./audio_RA2/Zofia/General/RA2_csof029.mp3,./audio_RA2/Yuri/General/RA2_cyur029.mp3,5 minutes remaining.,剩下5分钟
./audio_RA2/EvaLee/General/RA2_ceva030.mp3,./audio_RA2/Zofia/General/RA2_csof030.mp3,./audio_RA2/Yuri/General/RA2_cyur030.mp3,4 minutes remaining.,剩下4分钟
./audio_RA2/EvaLee/General/RA2_ceva031.mp3,./audio_RA2/Zofia/General/RA2_csof031.mp3,./audio_RA2/Yuri/General/RA2_cyur031.mp3,3 minutes remaining.,剩下3分钟
./audio_RA2/EvaLee/General/RA2_ceva032.mp3,./audio_RA2/Zofia/General/RA2_csof032.mp3,./audio_RA2/Yuri/General/RA2_cyur032.mp3,2 minutes remaining.,剩下2分钟
./audio_RA2/EvaLee/General/RA2_ceva033.mp3,./audio_RA2/Zofia/General/RA2_csof033.mp3,./audio_RA2/Yuri/General/RA2_cyur033.mp3,1 minutes remaining.,剩下1分钟
./audio_RA2/EvaLee/General/RA2_ceva035.mp3,./audio_RA2/Zofia/General/RA2_csof035.mp3,./audio_RA2/Yuri/General/RA2_cyur035.mp3,Timer started.,计时器开始
./audio_RA2/EvaLee/General/RA2_ceva036.mp3,./audio_RA2/Zofia/General/RA2_csof036.mp3,./audio_RA2/Yuri/General/RA2_cyur036.mp3,Timer stopped.,计时器停止
./audio_RA2/EvaLee/General/RA2_ceva037.mp3,./audio_RA2/Zofia/General/RA2_csof037.mp3,./audio_RA2/Yuri/General/RA2_cyur037.mp3,Ore miner under attack,采矿车遭到攻击
./audio_RA2/EvaLee/General/RA2_ceva038.mp3,./audio_RA2/Zofia/General/RA2_csof038.mp3,./audio_RA2/Yuri/General/RA2_cyur038.mp3,Reinforcements have arrived.,援军抵达了
./audio_RA2/EvaLee/General/RA2_ceva039.mp3,./audio_RA2/Zofia/General/RA2_csof039.mp3,./audio_RA2/Yuri/General/RA2_cyur039.mp3,New terrain discovered.,发现新地形
./audio_RA2/EvaLee/General/RA2_ceva040.mp3,./audio_RA2/Zofia/General/RA2_csof040.mp3,./audio_RA2/Yuri/General/RA2_cyur040.mp3,Incoming transmission.,新讯息传送中
./audio_RA2/EvaLee/General/RA2_ceva041.mp3,./audio_RA2/Zofia/General/RA2_csof041.mp3,./audio_RA2/Yuri/General/RA2_cyur041.mp3,Beacon detected.,侦测到信号标志
./audio_RA2/EvaLee/General/RA2_ceva042.mp3,./audio_RA2/Zofia/General/RA2_csof042.mp3,./audio_RA2/Yuri/General/RA2_cyur042.mp3,Beacon placed.,安置信号标志
./audio_RA2/EvaLee/General/RA2_ceva043.mp3,./audio_RA2/Zofia/General/RA2_csof043.mp3,./audio_RA2/Yuri/General/RA2_cyur043.mp3,Alliance formed.,缔结盟约
./audio_RA2/EvaLee/General/RA2_ceva044.mp3,./audio_RA2/Zofia/General/RA2_csof044.mp3,./audio_RA2/Yuri/General/RA2_cyur044.mp3,Alliance broken.,破弃盟约
./audio_RA2/EvaLee/General/RA2_ceva045.mp3,./audio_RA2/Zofia/General/RA2_csof045.mp3,./audio_RA2/Yuri/General/RA2_cyur045.mp3,Our ally is under attack.,盟军正遭受攻击
./audio_RA2/EvaLee/General/RA2_ceva046.mp3,./audio_RA2/Zofia/General/RA2_csof046.mp3,./audio_RA2/Yuri/General/RA2_cyur046.mp3,Bridge repaired.,桥梁修护了
./audio_RA2/EvaLee/General/RA2_ceva047.mp3,./audio_RA2/Zofia/General/RA2_csof047.mp3,./audio_RA2/Yuri/General/RA2_cyur047.mp3,"Unable to comply, building in progress.",无法进行，建筑物兴建中
./audio_RA2/EvaLee/General/RA2_ceva048.mp3,./audio_RA2/Zofia/General/RA2_csof048.mp3,./audio_RA2/Yuri/General/RA2_cyur048.mp3,Construction complete.,建筑完工
./audio_RA2/EvaLee/General/RA2_ceva049.mp3,./audio_RA2/Zofia/General/RA2_csof049.mp3,./audio_RA2/Yuri/General/RA2_cyur049.mp3,New construction options.,新建筑选项
./audio_RA2/EvaLee/General/RA2_ceva050.mp3,./audio_RA2/Zofia/General/RA2_csof050.mp3,./audio_RA2/Yuri/General/RA2_cyur050.mp3,Insufficient funds.,资金不足
./audio_RA2/EvaLee/General/RA2_ceva051.mp3,./audio_RA2/Zofia/General/RA2_csof051.mp3,./audio_RA2/Yuri/General/RA2_cyur051.mp3,Cancelled.,取消
./audio_RA2/EvaLee/General/RA2_ceva052.mp3,./audio_RA2/Zofia/General/RA2_csof052.mp3,./audio_RA2/Yuri/General/RA2_cyur052.mp3,Building.,建造中
./audio_RA2/EvaLee/General/RA2_ceva053.mp3,./audio_RA2/Zofia/General/RA2_csof053.mp3,./audio_RA2/Yuri/General/RA2_cyur053.mp3,Low power.,电力不足
./audio_RA2/EvaLee/General/RA2_ceva054.mp3,./audio_RA2/Zofia/General/RA2_csof054.mp3,./audio_RA2/Yuri/General/RA2_cyur054.mp3,Our base is under attack.,基地遭受攻击
./audio_RA2/EvaLee/General/RA2_ceva055.mp3,./audio_RA2/Zofia/General/RA2_csof055.mp3,./audio_RA2/Yuri/General/RA2_cyur055.mp3,Primary buildings selected.,选取主建筑
./audio_RA2/EvaLee/General/RA2_ceva056.mp3,./audio_RA2/Zofia/General/RA2_csof056.mp3,./audio_RA2/Yuri/General/RA2_cyur056.mp3,On hold.,停止
./audio_RA2/EvaLee/General/RA2_ceva057.mp3,./audio_RA2/Zofia/General/RA2_csof057.mp3,./audio_RA2/Yuri/General/RA2_cyur057.mp3,Repairing.,修护中
./audio_RA2/EvaLee/General/RA2_ceva058.mp3,./audio_RA2/Zofia/General/RA2_csof058.mp3,./audio_RA2/Yuri/General/RA2_cyur058.mp3,Structure sold.,变卖建筑
./audio_RA2/EvaLee/General/RA2_ceva059.mp3,./audio_RA2/Zofia/General/RA2_csof059.mp3,./audio_RA2/Yuri/General/RA2_cyur059.mp3,Base defenses offline.,基地防御故障
./audio_RA2/EvaLee/General/RA2_ceva060.mp3,./audio_RA2/Zofia/General/RA2_csof060.mp3,./audio_RA2/Yuri/General/RA2_cyur060.mp3,Building offline.,基地作业中止
./audio_RA2/EvaLee/General/RA2_ceva061.mp3,./audio_RA2/Zofia/General/RA2_csof061.mp3,./audio_RA2/Yuri/General/RA2_cyur061.mp3,Building online.,基地恢复作业
./audio_RA2/EvaLee/General/RA2_ceva062.mp3,./audio_RA2/Zofia/General/RA2_csof062.mp3,./audio_RA2/Yuri/General/RA2_cyur062.mp3,Unit ready.,部队训练完成
./audio_RA2/EvaLee/General/RA2_ceva063.mp3,./audio_RA2/Zofia/General/RA2_csof063.mp3,./audio_RA2/Yuri/General/RA2_cyur063.mp3,Cannot deploy here.,无法部署于此
./audio_RA2/EvaLee/General/RA2_ceva064.mp3,./audio_RA2/Zofia/General/RA2_csof064.mp3,./audio_RA2/Yuri/General/RA2_cyur064.mp3,Unit lost.,部队遭摧毁
./audio_RA2/EvaLee/General/RA2_ceva065.mp3,./audio_RA2/Zofia/General/RA2_csof065.mp3,./audio_RA2/Yuri/General/RA2_cyur065.mp3,Select target.,选择目标
./audio_RA2/EvaLee/General/RA2_ceva066.mp3,./audio_RA2/Zofia/General/RA2_csof066.mp3,./audio_RA2/Yuri/General/RA2_cyur066.mp3,Training.,训练
./audio_RA2/EvaLee/General/RA2_ceva067.mp3,./audio_RA2/Zofia/General/RA2_csof067.mp3,./audio_RA2/Yuri/General/RA2_cyur067.mp3,Armor upgraded.,装甲升级了
./audio_RA2/EvaLee/General/RA2_ceva068.mp3,./audio_RA2/Zofia/General/RA2_csof068.mp3,./audio_RA2/Yuri/General/RA2_cyur068.mp3,Firepower upgraded.,火力升级了
./audio_RA2/EvaLee/General/RA2_ceva069.mp3,./audio_RA2/Zofia/General/RA2_csof069.mp3,./audio_RA2/Yuri/General/RA2_cyur069.mp3,Speed upgraded.,速度升级了
./audio_RA2/EvaLee/General/RA2_ceva070.mp3,./audio_RA2/Zofia/General/RA2_csof070.mp3,./audio_RA2/Yuri/General/RA2_cyur070.mp3,Unit repaired.,部队修护完成
./audio_RA2/EvaLee/General/RA2_ceva071.mp3,./audio_RA2/Zofia/General/RA2_csof071.mp3,./audio_RA2/Yuri/General/RA2_cyur071.mp3,Unit sold.,变卖部队
./audio_RA2/EvaLee/General/RA2_ceva072.mp3,./audio_RA2/Zofia/General/RA2_csof072.mp3,./audio_RA2/Yuri/General/RA2_cyur072.mp3,Building captured.,掳获建筑
./audio_RA2/EvaLee/General/RA2_ceva073.mp3,./audio_RA2/Zofia/General/RA2_csof073.mp3,./audio_RA2/Yuri/General/RA2_cyur073.mp3,Building infiltrated.,渗透建筑成功
./audio_RA2/EvaLee/General/RA2_ceva074.mp3,./audio_RA2/Zofia/General/RA2_csof074.mp3,./audio_RA2/Yuri/General/RA2_cyur074.mp3,New technology acquired.,取得新科技
./audio_RA2/EvaLee/General/RA2_ceva075.mp3,./audio_RA2/Zofia/General/RA2_csof075.mp3,./audio_RA2/Yuri/General/RA2_cyur075.mp3,Enemy base powered down.,敌军基地电力不足
./audio_RA2/EvaLee/General/RA2_ceva076.mp3,./audio_RA2/Zofia/General/RA2_csof076.mp3,./audio_RA2/Yuri/General/RA2_cyur076.mp3,Unit firepower upgraded,部队火力升级了
./audio_RA2/EvaLee/General/RA2_ceva077.mp3,./audio_RA2/Zofia/General/RA2_csof077.mp3,./audio_RA2/Yuri/General/RA2_cyur077.mp3,Unit armor upgraded.,部队装甲升级了
./audio_RA2/EvaLee/General/RA2_ceva078.mp3,./audio_RA2/Zofia/General/RA2_csof078.mp3,./audio_RA2/Yuri/General/RA2_cyur078.mp3,Unit speed upgraded.,部队速度升级了
./audio_RA2/EvaLee/General/RA2_ceva079.mp3,./audio_RA2/Zofia/General/RA2_csof079.mp3,./audio_RA2/Yuri/General/RA2_cyur079.mp3,Unit promoted.,部队晋升了
./audio_RA2/EvaLee/General/RA2_ceva080.mp3,./audio_RA2/Zofia/General/RA2_csof080.mp3,./audio_RA2/Yuri/General/RA2_cyur080.mp3,Unit upgraded.,部队升级了
./audio_RA2/EvaLee/General/RA2_ceva081.mp3,./audio_RA2/Zofia/General/RA2_csof081.mp3,./audio_RA2/Yuri/General/RA2_cyur081.mp3,"Firepower technology stolen, all units gain firepower upgrade.",窃取攻击火力科技，所有部队火力升级
./audio_RA2/EvaLee/General/RA2_ceva082.mp3,./audio_RA2/Zofia/General/RA2_csof082.mp3,./audio_RA2/Yuri/General/RA2_cyur082.mp3,Armor technology stolen. All units gain armor upgrade.,窃取装甲科技，所有部队装甲升级
./audio_RA2/EvaLee/General/RA2_ceva083.mp3,./audio_RA2/Zofia/General/RA2_csof083.mp3,./audio_RA2/Yuri/General/RA2_cyur083.mp3,New mission objective received.,下达新任务目标
./audio_RA2/EvaLee/General/RA2_ceva084.mp3,./audio_RA2/Zofia/General/RA2_csof084.mp3,./audio_RA2/Yuri/General/RA2_cyur084.mp3,Upgrade in progress.,升级中
./audio_RA2/EvaLee/General/RA2_ceva085.mp3,./audio_RA2/Zofia/General/RA2_csof085.mp3,./audio_RA2/Yuri/General/RA2_cyur085.mp3,Upgrade complete.,升级完成
./audio_RA2/EvaLee/General/RA2_ceva086.mp3,./audio_RA2/Zofia/General/RA2_csof086.mp3,./audio_RA2/Yuri/General/RA2_cyur086.mp3,Ore miner offline.,采矿车停止作业
./audio_RA2/EvaLee/General/RA2_ceva087.mp3,./audio_RA2/Zofia/General/RA2_csof087.mp3,./audio_RA2/Yuri/General/RA2_cyur087.mp3,Enemy power restored.,敌军电力恢复
./audio_RA2/EvaLee/General/RA2_ceva088.mp3,./audio_RA2/Zofia/General/RA2_csof088.mp3,./audio_RA2/Yuri/General/RA2_cyur088.mp3,"Building infiltrated, technology stolen.",建筑遭渗透，科技遭窃
./audio_RA2/EvaLee/General/RA2_ceva089.mp3,./audio_RA2/Zofia/General/RA2_csof089.mp3,./audio_RA2/Yuri/General/RA2_cyur089.mp3,"Building infiltrated, radar sabotaged.",建筑遭渗透，雷达遭破坏
./audio_RA2/EvaLee/General/RA2_ceva090.mp3,./audio_RA2/Zofia/General/RA2_csof090.mp3,./audio_RA2/Yuri/General/RA2_cyur090.mp3,"Building infiltrated, cash stolen.",建筑遭渗透，资金遭窃
./audio_RA2/EvaLee/General/RA2_ceva091.mp3,./audio_RA2/Zofia/General/RA2_csof091.mp3,./audio_RA2/Yuri/General/RA2_cyur091.mp3,"Building infiltrated, power sabotaged.",建筑遭渗透：发电厂遭破坏
./audio_RA2/EvaLee/General/RA2_ceva092.mp3,./audio_RA2/Zofia/General/RA2_csof092.mp3,./audio_RA2/Yuri/General/RA2_cyur092.mp3,Technology stolen.,科技遭窃
./audio_RA2/EvaLee/General/RA2_ceva093.mp3,./audio_RA2/Zofia/General/RA2_csof093.mp3,./audio_RA2/Yuri/General/RA2_cyur093.mp3,Radar sabotaged.,雷达遭破坏
./audio_RA2/EvaLee/General/RA2_ceva094.mp3,./audio_RA2/Zofia/General/RA2_csof094.mp3,./audio_RA2/Yuri/General/RA2_cyur094.mp3,Cash stolen.,资金遭窃
./audio_RA2/EvaLee/General/RA2_ceva095.mp3,./audio_RA2/Zofia/General/RA2_csof095.mp3,./audio_RA2/Yuri/General/RA2_cyur095.mp3,Power sabotaged.,发电厂遭破坏
./audio_RA2/EvaLee/General/RA2_ceva096.mp3,./audio_RA2/Zofia/General/RA2_csof096.mp3,./audio_RA2/Yuri/General/RA2_cyur096.mp3,"Warning, enemy air armada detected.",警告：侦测到敌军航空机群
./audio_RA2/EvaLee/General/RA2_ceva097.mp3,./audio_RA2/Zofia/General/RA2_csof097.mp3,./audio_RA2/Yuri/General/RA2_cyur097.mp3,"Warning, enemy fleet detected.",警告：侦测到敌军舰队
./audio_RA2/EvaLee/General/RA2_ceva098.mp3,./audio_RA2/Zofia/General/RA2_csof098.mp3,./audio_RA2/Yuri/General/RA2_cyur098.mp3,"Warning, enemy armor battalion detected.",警告：侦测到敌军装甲军团
./audio_RA2/EvaLee/General/RA2_ceva099.mp3,./audio_RA2/Zofia/General/RA2_csof099.mp3,./audio_RA2/Yuri/General/RA2_cyur099.mp3,"Warning, enemy infantry battalion detected.",警告：侦测到敌军步兵军团
./audio_RA2/EvaLee/General/RA2_ceva100.mp3,./audio_RA2/Zofia/General/RA2_csof100.mp3,./audio_RA2/Yuri/General/RA2_cyur100.mp3,New rally point established.,建立新集合点
./audio_RA2/EvaLee/General/RA2_ceva101.mp3,./audio_RA2/Zofia/General/RA2_csof101.mp3,./audio_RA2/Yuri/General/RA2_cyur101.mp3,Alliance requested.,对方要求结盟
./audio_RA2/EvaLee/General/RA2_ceva102.mp3,./audio_RA2/Zofia/General/RA2_csof102.mp3,./audio_RA2/Yuri/General/RA2_cyur102.mp3,Requesting alliance.,提出结盟要求
./audio_RA2/EvaLee/General/RA2_ceva103.mp3,./audio_RA2/Zofia/General/RA2_csof103.mp3,./audio_RA2/Yuri/General/RA2_cyur103.mp3,Enemy alliance formed.,敌军结交新盟友
./audio_RA2/EvaLee/General/RA2_ceva104.mp3,./audio_RA2/Zofia/General/RA2_csof104.mp3,./audio_RA2/Yuri/General/RA2_cyur104.mp3,New objective received.,接获新的任务目标
./audio_RA2/EvaLee/General/RA2_ceva105.mp3,./audio_RA2/Zofia/General/RA2_csof105.mp3,./audio_RA2/Yuri/General/RA2_cyur105.mp3,Tech building captured.,掳获科技建筑
./audio_RA2/EvaLee/General/RA2_ceva106.mp3,./audio_RA2/Zofia/General/RA2_csof106.mp3,./audio_RA2/Yuri/General/RA2_cyur106.mp3,Tech building lost.,丧失科技建筑
./audio_RA2/EvaLee/General/RA2_ceva107.mp3,./audio_RA2/Zofia/General/RA2_csof107.mp3,./audio_RA2/Yuri/General/RA2_cyur107.mp3,Structure garrisoned.,建筑已驻防
./audio_RA2/EvaLee/General/RA2_ceva108.mp3,./audio_RA2/Zofia/General/RA2_csof108.mp3,./audio_RA2/Yuri/General/RA2_cyur108.mp3,Structure abandoned.,放弃建筑
./audio_RA2/EvaLee/General/RA2_ceva109.mp3,./audio_RA2/Zofia/General/RA2_csof109.mp3,./audio_RA2/Yuri/General/RA2_cyur109.mp3,Chrono/War/Slave miner offline.,采矿车停止作业
./audio_RA2/EvaLee/General/RA2_ceva120.mp3,./audio_RA2/Zofia/General/RA2_csof120.mp3,./audio_RA2/Yuri/General/RA2_cyur120.mp3,Battle control online.,作战控制作业中
./audio_RA2/EvaLee/General/RA2_ceva121.mp3,./audio_RA2/Zofia/General/RA2_csof121.mp3,./audio_RA2/Yuri/General/RA2_cyur121.mp3,Reinforcements ready.,援军就绪
./audio_RA2/EvaLee/General/RA2_ceva122.mp3,./audio_RA2/Zofia/General/RA2_csof122.mp3,./audio_RA2/Yuri/General/RA2_cyur122.mp3,Weather control device offline.,天气控制机停止作业
./audio_RA2/EvaLee/General/RA2_ceva123.mp3,./audio_RA2/Zofia/General/RA2_csof123.mp3,./audio_RA2/Yuri/General/RA2_cyur123.mp3,Structure repaired.,建筑已维修
./audio_RA2/EvaLee/General/RA2_ceva124.mp3,./audio_RA2/Zofia/General/RA2_csof124.mp3,./audio_RA2/Yuri/General/RA2_cyur124.mp3,Object complete.,目标完成
./audio_RA2/EvaLee/General/RA2_ceva125.mp3,./audio_RA2/Zofia/General/RA2_csof125.mp3,./audio_RA2/Yuri/General/RA2_cyur125.mp3,"Warning, Psychic Dominator detected.",警告，侦测到心灵控制器
./audio_RA2/EvaLee/General/RA2_ceva127.mp3,./audio_RA2/Zofia/General/RA2_csof127.mp3,./audio_RA2/Yuri/General/RA2_cyur127.mp3,Psychic Dominator ready.,心灵控制器已准备就绪
./audio_RA2/EvaLee/General/RA2_ceva128.mp3,./audio_RA2/Zofia/General/RA2_csof128.mp3,./audio_RA2/Yuri/General/RA2_cyur128.mp3,"Warning, Genetic Mutator detected.",警告，侦测到基因突变器
./audio_RA2/EvaLee/General/RA2_ceva129.mp3,./audio_RA2/Zofia/General/RA2_csof129.mp3,./audio_RA2/Yuri/General/RA2_cyur129.mp3,"Warning, Genetic Mutator activated.",警告，基因突变器已激活
./audio_RA2/EvaLee/General/RA2_ceva130.mp3,./audio_RA2/Zofia/General/RA2_csof130.mp3,./audio_RA2/Yuri/General/RA2_cyur130.mp3,Genetic Mutator ready.,基因突变器已准备就绪
./audio_RA2/EvaLee/General/RA2_ceva131.mp3,./audio_RA2/Zofia/General/RA2_csof131.mp3,./audio_RA2/Yuri/General/RA2_cyur131.mp3,Airstrike initiated.,空袭已开始
./audio_RA2/EvaLee/General/RA2_ceva132.mp3,./audio_RA2/Zofia/General/RA2_csof132.mp3,./audio_RA2/Yuri/General/RA2_cyur132.mp3,Force Shield ready.,力场护盾已就绪
./audio_RA2/EvaLee/General/RA2_ceva133.mp3,./audio_RA2/Zofia/General/RA2_csof133.mp3,./audio_RA2/Yuri/General/RA2_cyur133.mp3,Force Shield activated.,力场护盾已激活
./audio_RA2/EvaLee/General/RA2_ceva134.mp3,./audio_RA2/Zofia/General/RA2_csof134.mp3,./audio_RA2/Yuri/General/RA2_cyur134.mp3,"Hospital captured, all infantry units will now auto-heal.",医院已占据，所有步兵单位现在将会自动恢复生命值
./audio_RA2/EvaLee/General/RA2_ceva135.mp3,./audio_RA2/Zofia/General/RA2_csof135.mp3,./audio_RA2/Yuri/General/RA2_cyur135.mp3,"Machine shop captured, all vehicles will now auto-repair.",机修车间已占据，所有载具单位现在将会自动恢复生命值
./audio_RA2/EvaLee/General/RA2_ceva136.mp3,./audio_RA2/Zofia/General/RA2_csof136.mp3,./audio_RA2/Yuri/General/RA2_cyur136.mp3,"Airfield captured, we can recruit paratroopers.",科技机场已占据，我们可以招募伞兵了
./audio_RA2/EvaLee/General/RA2_ceva137.mp3,./audio_RA2/Zofia/General/RA2_csof137.mp3,./audio_RA2/Yuri/General/RA2_cyur137.mp3,"Secret lab captured, new technology available.",秘密实验室已占据，获得新科技
./audio_RA2/EvaLee/General/RA2_ceva138.mp3,./audio_RA2/Zofia/General/RA2_csof138.mp3,./audio_RA2/Yuri/General/RA2_cyur138.mp3,"Oil refinery captured, acquiring additional resources.",科技油厂已占据，获得额外资金来源
./audio_RA2/EvaLee/General/RA2_ceva139.mp3,./audio_RA2/Zofia/General/RA2_csof139.mp3,./audio_RA2/Yuri/General/RA2_cyur139.mp3,Repair facility captured.,维修设施已占据
./audio_RA2/EvaLee/General/RA2_ceva140.mp3,./audio_RA2/Zofia/General/RA2_csof140.mp3,./audio_RA2/Yuri/General/RA2_cyur140.mp3,Robot Tanks offline.,遥控坦克停止作业
./audio_RA2/EvaLee/General/RA2_ceva141.mp3,./audio_RA2/Zofia/General/RA2_csof141.mp3,./audio_RA2/Yuri/General/RA2_cyur141.mp3,Robot Tanks back online.,遥控坦克恢复作业
./audio_RA2/EvaLee/General/RA2_ceva142.mp3,./audio_RA2/Zofia/General/RA2_csof142.mp3,./audio_RA2/Yuri/General/RA2_cyur142.mp3,Spy Plane on route.,侦察机在路上
./audio_RA2/EvaLee/General/RA2_ceva143.mp3,./audio_RA2/Zofia/General/RA2_csof143.mp3,./audio_RA2/Yuri/General/RA2_cyur143.mp3,Battle control offline.,作战控制离线
./audio_RA2/EvaLee/General/RA2_ceva150.mp3,./audio_RA2/Zofia/General/RA2_csof150.mp3,./audio_RA2/Yuri/General/RA2_cyur150.mp3,Paratroopers ready.,伞兵就绪
./audio_RA2/EvaLee/General/RA2_ceva151.mp3,./audio_RA2/Zofia/General/RA2_csof151.mp3,./audio_RA2/Yuri/General/RA2_cyur151.mp3,Weather control device temporarily unavailable.,天气控制机暂时失效
