EvaLee_direct,Zofia_direct,Yuri_direct,Other_direct,transcript_Eng,transcript_Chn
./audio_RA2/EvaLee/AlliedWar/RA2_cevau25.mp3,,,,"Commander, the spy's ability to mask himself as the enemy and pass through their ranks gives him the needed edge to infiltrate even the most well guarded enemy building. If only they didn't taste so good to Soviet dogs.",指挥官，间谍的能力是伪装自己成为敌军并通过敌军队伍，就连渗透进防卫最森严的敌方建筑，也游刃有余。要是他们对苏联警犬来说没那么好吃的话
./audio_RA2/EvaLee/AlliedWar/RA2_cevau26.mp3,,,,The Rocketeers are the brave men who strap maneuvering thrusters to their backs and then go out to hunt enemy tanks and air forces. They are very brave.,火箭飞行兵是英勇的士兵，背上捆绑着推进器，能飞行猎杀敌方坦克及空军战机，他们十分勇敢
./audio_RA2/EvaLee/AlliedWar/RA2_cevau27.mp3,,,,"Commander, this is a Chrono Legionnaire. Using Professor Einstein's Chronal technology they teleport next to any enemy and utterly erase them from time.",指挥官，这是超时空军团兵。利用爱因斯坦教授的超时空科技，他们能瞬间传送到敌人身边，让他们彻底消失在时空中
./audio_RA2/EvaLee/AlliedWar/RA2_cevau31.mp3,,,,"Commander, our Mirage Tank's ability to hide itself among any natural objects around it make it the perfect ambush or covert surveillance vehicle.",指挥官，我方的幻影坦克的能力，是能隐藏于周围的任何自然物体中，最适合用来埋伏或秘密侦察
./audio_RA2/EvaLee/AlliedWar/RA2_cevau36.mp3,,,,"Commander, our Destroyer is the workhorse of the navy. No naval unit can long hide from it and once detected, it makes short work of the enemy.",指挥官，我方的驱逐舰是海军的苦力。没有海军部队能在驱逐舰之前躲藏太久，一旦侦测到敌人，就能迅速将之解决
./audio_RA2/EvaLee/AlliedWar/RA2_cevau37.mp3,,,,"Commander, there is no airborne threat that can evade the sight or missile of the Aegis Cruiser. It is the premier anti-air weapon.",指挥官，没有任何来自空中的威胁能逃过神盾巡洋舰的雷达、飞弹。它是主要的防空武器
./audio_RA2/EvaLee/AlliedWar/RA2_cevau38.mp3,,,,"Sir, our Aircraft Carriers are the pride of the Allied navy. In a moments notice, the carrier's planes can take out any target quickly and from a very safe distance.",长官，我方航空母舰是盟军海军的荣耀。片刻之间，舰上的战机能迅速在非常安全的距离外，摧毁任何目标
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev01.mp3,,,,"Don't forget, Sir! Order Tanya as you see fit, but we CANNOT afford to lose her. You must reach Fort Bradley before it is destroyed.",别忘记，长官！您可以用自己觉得合适的方式来指挥谭雅，但我们可承受不起失去谭雅的损失。您必须在布雷利要塞被摧毁之前，先行抵达
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev02.mp3,,,,"Looks like the bridge has been blown, we have to find another way to Fort Bradly.",看来桥被炸了。我们必须再找别的路到布雷利要塞
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev03.mp3,,,,"The Soviet Navy is attacking the Statue of Liberty, we can't let them get away with that. Sir, is there anything you can do?",苏联海军正在攻击自由女神像！我们不能让他们得逞！长官，您可以做些什么来阻止他们吗？
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev04.mp3,,,,"Doesn't sound good, sir. We're going to have double time at the rest of way to reach Fort Bradly in time.",听起来不太好，长官！我们接下来到布雷利要塞的路程得要加倍赶路才能及时赶到！
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev05.mp3,,,,"Congratulations, we've re-established the contact with Fort Bradley. They're turning over controls of the base and its troops to you.",恭喜！我们与布雷利要塞重新恢复连系了！他们倾覆了基地的控制权，还有部队，转向您这边了
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev06.mp3,,,,"We seem to have lost power, sir! Build more power plants.",我们好像在失去电力，长官！请兴建更多的发电厂
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev07.mp3,,,,Looks like the bridge has collapsed. We'll have to get our Engineers to repair it!,看来桥好像塌了。我们得找工程师来修护！
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev08.mp3,,,,"Watch out for those petroleum barrels, they seem highly unstable. Perhaps we can use them to advantage.",当心这些油桶，看来很不稳定！或许我们可用利用这些油桶
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev09.mp3,,,,Our GI's are too exposed to enemy fire! Maybe they should take shelter in nearby buildings!,我们的大兵暴露于敌人炮火下！或许他们应该就近到建筑物里找寻掩蔽！
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev10.mp3,,,,"Sir, I'm sorry to report that we've lost Tanya.",长官，我很抱歉向您报告，我们失去了谭雅
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev11.mp3,,,,"There's the Supply Base! Destroy all of the buildings, and we'll buy some time for the rest of the country!",那里就是补给基地！摧毁所有建筑物，我们就能争取一点时间，为国家争取一点时间！
./audio_RA2/EvaLee/AlliedWar/RA2_ma1ev12.mp3,,,,We've done it Sir! The Supply Base has been eliminated!,我们办到了，长官！补给基地已经被我们消灭了！
,,,./audio_RA2/Others/AlliedWar/RA2_ma2ta01.mp3,All right! This beacon's neutralized! Send in the cavalry.,好极了！心灵信标失效了！把装甲车开进来吧
./audio_RA2/EvaLee/AlliedWar/RA2_ma5ev01.mp3,,,,"You can check one missile off your list, Sir! That bird will never fly again.",您可以从列表中移掉一枚飞弹，长官！那枚飞弹再也不会飞了
./audio_RA2/EvaLee/AlliedWar/RA2_ma5ev02.mp3,,,,"Sir, we managed to capture one of the Silos - instead of destroying it! Why don't we just turn it against the other missile Silo?",长官，我们成功的占据了其中一个飞弹发射井，而不是直接摧毁！为什么不干脆把它调头对准另一个飞弹发射井呢？
./audio_RA2/EvaLee/AlliedWar/RA2_ma5ev03.mp3,,,,"If you can get a Spy into one of the Tesla Generators, he can probably shut down all of the base's power for a good 30 seconds.",要是您能让一位间谍进入这些磁能产生器中，或许他可以暂时关掉这个基地的电力，约三十秒左右的时间
./audio_RA2/EvaLee/AlliedWar/RA2_ma5ev04.mp3,,,,I'm resizing your radar to compensate for the Nuclear missile coordinates that we just received. Stand by.,我重新调整了雷达的侦测范围，以补偿我们刚刚收到的核弹坐标。请稍候
./audio_RA2/EvaLee/AlliedWar/RA2_ma5ev05.mp3,,,,"Sir! You just blew up the Soviet Battle Lab! Without the Missile Silo coordinates, we can't complete our mission!",长官！您刚刚炸毁了苏联的作战实验室！没有了飞弹发射井坐标，我们就无法完成任务！
./audio_RA2/EvaLee/AlliedWar/RA2_ma5ev06.mp3,,,,"Congratulations, Sir! With both nukes neutralized, the European Alliance can join the war! We may have just changed the course of history!",恭喜！长官，两座核弹都失效之后，欧洲盟军就能参战了！我们已经改变了历史的轨迹！
,,,./audio_RA2/Others/AlliedWar/RA2_ma5i101.mp3,"Thanks for rescuing us, Sir! Our plane was shot down by Soviet anti-aircraft. There's probably more survivors around here.",感谢您营救我们，长官！我们的飞机被苏联防空炮击坠。说不定这附近还有更多的生还者
,,,./audio_RA2/Others/AlliedWar/RA2_ma5i201.mp3,"Glad you found us, Sir! We're freezing out here!",很高兴您找到我们，长官！我们在这好冷！
,,,./audio_RA2/Others/AlliedWar/RA2_ma5i301.mp3,"Good to see you, Sir! What are our orders?",很高兴见到您，长官！我们的命令？
,,,./audio_RA2/Others/AlliedWar/RA2_ma5i401.mp3,"Be on the lookout for spies, Comrade. It seems a little too quiet tonight.",同志，仔细盯着，不要让间谍混进来。今晚似乎有点太安静了
,,,./audio_RA2/Others/AlliedWar/RA2_ma5i501.mp3,Heheh... We don't need to worry about stupid American spies. That's what the dogs are for.,呵呵...我们不需要担心愚笨的美国间谍。有警犬在就可以高枕无忧了
,,,./audio_RA2/Others/AlliedWar/RA2_ma5ta01.mp3,"Looks like we're going to need some more Spies, Sir!",看来我们需要更多间谍，长官！
,,,./audio_RA2/Others/AlliedWar/RA2_ma5ta02.mp3,"Sir, could you send some more Spies without neon camouflage this time?",长官，您能再派遣没有霓虹迷彩的间谍吗？
,,,./audio_RA2/Others/AlliedWar/RA2_ma5ta03.mp3,Looks like Spies are becoming an Endangered Species. Send some more!,看来间谍已经成为濒临绝种的动物。再派更多来！
,,,./audio_RA2/Others/AlliedWar/RA2_ma5ta04.mp3,"Cru...(Beep) son of a ... Sorry, Sir, but we need some more Spies.",真是...他...的！抱歉长官，但我们需要更多间谍
./audio_RA2/EvaLee/AlliedWar/RA2_ma6ev01.mp3,,,,Hey! That's not Lincoln. They've put a Stalin head on him!,嘿，这不是林肯。他们在林肯身上换了斯大林的头
./audio_RA2/EvaLee/AlliedWar/RA2_ma6ev02.mp3,,,,"Sir, several of our vehicles have been eaten by Terror Drones. Our Service Depot can remove the drones and save our vehicles.",长官，我们有几台车辆被恐怖机器人吃了。我们的维修厂能移除这些机器人，挽救我们的车辆
./audio_RA2/EvaLee/AlliedWar/RA2_ma7ev01.mp3,,,,"Commander, Niihau Island has fallen. We should prepare the rest of Hawaii for invasion.",指挥官，尼伊豪岛陷落了。我们应该在夏威夷其他群岛加强准备，等待入侵敌军
,,,./audio_RA2/Others/AlliedWar/RA2_ma8ia01.mp3,Can't concentrate... Voices in my head - victory to the Soviet Union.,无法集中注意力...脑海中的声音——胜利属于苏联！
,,,./audio_RA2/Others/AlliedWar/RA2_ma8ia02.mp3,Victory to the Sov... We're free! Get'em!,胜利属于苏...我们自由了！抓住他们！
,,,./audio_RA2/Others/AlliedWar/RA2_ma8ta01.mp3,"Must reach the beacon, just a little bit farther... Long live the glorious people's Soviet state.",必须抵达心灵信标，就差一点...光荣的人民代表苏维埃政府万岁
,,,./audio_RA2/Others/AlliedWar/RA2_ma9se01.mp3,We're going to need some help getting through those defenses.,我们需要一些帮助来通过那些防线
,,,./audio_RA2/Others/AlliedWar/RA2_ma9se02.mp3,"Hot Tamale! That's no Mayan Pyramid, that's a Prism Cannon.",太酷了！那根本不是玛雅金字塔，那是个棱镜加农炮
,,,./audio_RA2/Others/AlliedWar/RA2_ma9se03.mp3,"Sir, these freedom fighters want to join up.",长官，这些自由斗士想要加入我们
,,,./audio_RA2/Others/AlliedWar/RA2_maaei01.mp3,"What does this button do? Please don't touch the auxiliary controls, professor. They notify the Commander of important events.",这个按钮是干嘛的？请不要按这个辅助控制按钮，教授。它们可以通知指挥官很多重要的情报
,,,./audio_RA2/Others/AlliedWar/RA2_maaei02.mp3,"Commander! Look out! They are over here. Professor, please stay off this channel.",指挥官！注意！他们过来了。教授，请您离开这个频道
,,,./audio_RA2/Others/AlliedWar/RA2_maaei03.mp3,Get these Commander! Here they are! Here! Professor Einstein! I'm sure the Commander sees that.,抓住这些人，指挥官！他们在这！在这！爱因斯坦教授，我非常确信指挥官已经看到了
,,,./audio_RA2/Others/AlliedWar/RA2_maaei04.mp3,You should see this Commander! Professor if you touch the controls again...,您应该见见这个，指挥官！教授，如果您再触碰这些控制按钮一下...
./audio_RA2/EvaLee/AlliedWar/RA2_maaev05.mp3,,,,"Sir, if you build and deploy a spy satellite you will be able to see the entire combat area.",长官，要是您兴建并部署一枚间谍卫星，您就能看见整个作战区域
./audio_RA2/EvaLee/AlliedWar/RA2_maaev06.mp3,,,,"We're rather low on resources in this location, sir. Perhaps you should construct an Ore Purifier so we can get more out of what we have.",我们在这区域的资源不足，长官。或许您应该兴建矿石精炼器，我们就能从所有的得到更多
./audio_RA2/EvaLee/AlliedWar/RA2_macev01.mp3,,,,"Attempting to jam all calls for help from Soviet Command, but a few got through. Heavier Soviet reinforcements arriving soon.",尝试干扰苏联指挥部的求救讯息，但还是有一些讯息传出去了。更大规模的苏联援军很快就会赶到
./audio_RA2/EvaLee/AlliedWar/RA2_macev02.mp3,,,,"Teleporting troops arriving in 5, 4, 3, 2, 1.",传送部队将在5，4，3，2，1秒后到达
./audio_RA2/EvaLee/AlliedWar/RA2_macev03.mp3,,,,"Intercepting broadcast from Soviet Command. Romanov's panicking, sir. He's called for air evacuation. The transports will arrive in 2 minutes.",拦截苏联指挥部的广播消息。罗曼诺夫陷入惊慌，长官。他呼叫空军前来撤离。运输机两分钟内会抵达
./audio_RA2/EvaLee/AlliedWar/RA2_macev04.mp3,,,,Soviet evacuation transports arriving in 1 minute.,苏联撤退输送机一分钟内会抵达
./audio_RA2/EvaLee/AlliedWar/RA2_macev05.mp3,,,,Soviet evacuation transports arriving in 30 seconds.,苏联撤退输送机三十秒钟内会抵达
./audio_RA2/EvaLee/AlliedWar/RA2_macev06.mp3,,,,"Sir, Romanov is calling for evacuation again. He is trying to escape.",长官，罗曼诺夫再度呼叫撤离。他打算要溜了！
./audio_RA2/EvaLee/AlliedWar/RA2_macev07.mp3,,,,Soviet units are defecting to our side.,苏联部队投向我方了
./audio_RA2/EvaLee/AlliedWar/RA2_macev08.mp3,,,,Psychic Amplifier destroyed.,摧毁心灵控制增幅器
./audio_RA2/EvaLee/AlliedWar/RA2_macev09.mp3,,,,Romanov captured.,已俘虏罗曼诺夫
,,,./audio_RA2/Others/AlliedWar/RA2_macis01.mp3,We will never surrender! Death to the Allies!,我们绝不投降！同盟国去死吧！
,,,./audio_RA2/Others/AlliedWar/RA2_macta01.mp3,We can't let Romanov get away!,我们不能让罗曼诺夫离开
,,,./audio_RA2/Others/AlliedWar/RA2_macve01.mp3,I'm going to be sick.,我好像不太舒服
,,,./audio_RA2/Others/AlliedWar/RA2_macve02.mp3,Where are we?,我们在哪里？
,,,./audio_RA2/Others/AlliedWar/RA2_macve03.mp3,Is this Russia?,这里是俄罗斯吗？
./audio_RA2/EvaLee/AlliedWar/RA2_cevau39.mp3,,,,"Yuri's Boomer Submarines have ballistic missiles that can be fired from a great distance, send Dolphins and Destroyers out as soon as you detect one.",尤里的雷鸣潜艇装备有可以从很远的地方发射的弹道导弹，一旦你发现了一艘，赶紧派出海豚和驱逐舰
./audio_RA2/EvaLee/AlliedWar/RA2_cevau40.mp3,,,,No doubt the result of indiscriminate Genetic Mutations. The Brute has the strength of 20 men and can even smash tanks. Try to engage it from long range if possible.,毫无疑问这是不加选择的基因突变的结果。狂兽人拥有20个人的力量，甚至可以粉碎坦克。如果可能，请尝试从远距离与之交战
./audio_RA2/EvaLee/AlliedWar/RA2_cevau41.mp3,,,,"Tanya's report is the most information we have on this weapon. Somehow it drives people berserk, and they begin firing indiscriminately. If you see one, destroy it quickly.",谭雅的报告是我们掌握的关于这种武器的最多信息。不知何故，它使人们发狂，他们开始不分青红皂白地开枪。如果你看到一个，迅速摧毁它
./audio_RA2/EvaLee/AlliedWar/RA2_cevau42.mp3,,,,Hmm... Looks like even Yuri can't do without engineers. I guess somebody's gotta tighten the bolts in his head.,嗯……看来连尤里都离不开工程师。我觉得该有人拧紧他头上的螺栓了
./audio_RA2/EvaLee/AlliedWar/RA2_cevau43.mp3,,,,"If this doesn't prove Yuri is insane, then nothing will. Yuri's Floating Disk is designed to steal resources from our bases. I have no idea why it was built to look like a flying saucer.",如果这不能证明尤里疯了，那么没有东西能了。尤里的雷射幽浮旨在窃取我们基地的资源。我不知道为什么它被建造成看起来像一个飞碟
./audio_RA2/EvaLee/AlliedWar/RA2_cevau44.mp3,,,,"This is one of Yuri's new Gatling Tanks. Their guns shoot faster and inflict more damage the longer a fight goes on. If you run across them, take them out quickly, or they'll be able to rip through your forces.",这是尤里的新加特林坦克之一。战斗持续的时间越长，他们射击速度越快，造成的伤害越多。如果您遇到它们，请迅速将它们带走，否则它们将能够撕裂您的部队
./audio_RA2/EvaLee/AlliedWar/RA2_cevau45.mp3,,,,"This is Yuri's Hover Transport, Commander.",这是尤里的装甲运兵船，指挥官
./audio_RA2/EvaLee/AlliedWar/RA2_cevau46.mp3,,,,"This is it's one of Yuri's Initiates. They can't control minds yet, but nothing is safe from their psychic blasts.",这是尤里的新兵之一。他们还不能控制心灵，但在他们的心灵冲击波前没有什么是安全的
./audio_RA2/EvaLee/AlliedWar/RA2_cevau47.mp3,,,,"Yuri's Lasher Tank looks like an old Soviet prototype they made match our own Grizzly Tank's speed. According to our reports, it's no match for our tanks unless Yuri has made some vast improvement which I doubt.","尤里的鞭笞者坦克看起来像它们曾制作的一个旧的苏联原型,速度能与我们自己的灰熊坦克相当。根据我们的报告，它无法与我们的坦克匹敌，但我怀疑尤里已经做出一些的巨大改进"
./audio_RA2/EvaLee/AlliedWar/RA2_cevau48.mp3,,,,"Yuri's Magnitron doesn't have a weapon, but it can pull vehicles toward it with a powerful energy beam. I assume that Yuri built them to work in concert with mind controlling units.",尤里的磁电坦克没有武器，但它可以用强大的能量束将车辆拉向它。我认为尤里建造它们是为了与心灵控制单位协同工作。
./audio_RA2/EvaLee/AlliedWar/RA2_cevau49.mp3,,,,And I thought the Brute was bad. Yuri calls this thing a Mastermind. It's basically a big brain on wheels that mine controls anything that gets near it. Don't get near it.,我还觉得狂兽人很糟糕了。尤里称这东西为心灵之主。它就是个带轮子的大脑子，会控制任何靠近它的东西。不要靠近它
./audio_RA2/EvaLee/AlliedWar/RA2_cevau50.mp3,,,,This is Yuri's Construction Vehicle.,这是尤里的基地车
./audio_RA2/EvaLee/AlliedWar/RA2_cevau51.mp3,,,,"Yuri uses these Slaves to gather the resources he needs to fight his war. They are forced to work until they drop and then Yuri enslaves more. Free them, and they'll join our fight against Yuri.",尤里使用这些奴隶来收集他打仗所需的资源。他们被迫工作直到累垮，然后尤里奴役更多。解放他们，他们会加入我们对抗尤里的战斗
./audio_RA2/EvaLee/AlliedWar/RA2_cevau52.mp3,,,,"Yuri's resources are gathered by slaves and refined inside the Slave Miner vehicle. If you destroy it, the slave inside will be freed.",尤里的资源由奴隶收集并在奴隶采矿车内提炼。如果你摧毁它，里面的奴隶就会被解放
./audio_RA2/EvaLee/AlliedWar/RA2_cevau53.mp3,,,,"Little is known about the mercenary group called virus, except they are all female, and their weapons inject a lethal virus into their victims. Don't get hit by one of their darts, Commander. No one has ever survived its effects.",我们对名为病毒的雇佣军组织知之甚少，除了她们都是女性，她们的武器将致命的病毒注射到受害者身上。不要被他们的一支飞镖击中，指挥官。没有人从它的作用下幸存下来
./audio_RA2/EvaLee/AlliedWar/RA2_cevau54.mp3,,,,"Yuri's Clones are not as powerful as the original, but their ability to control minds is a definite threat on the battlefield.",尤里的克隆人没有原版那么强大，但他们控制心灵的能力在战场上是绝对的威胁
./audio_RA2/EvaLee/AlliedWar/RA2_cevau55.mp3,,,,"Yuri is the greatest threat to mankind. If the coward ever shows himself in the field, throw everything you've got at him. No one is safe until Yuri is stopped.",尤里是人类最大的威胁。如果这个懦夫胆敢出现在战场上，就把你有的弹药都发射给他。在阻止尤里之前，没有人是安全的
./audio_RA2/EvaLee/AlliedWar/RA2_cevau56.mp3,,,,"This is Yuri's Barrack's building, Commander.",这是尤里的兵营建筑，指挥官
./audio_RA2/EvaLee/AlliedWar/RA2_cevau57.mp3,,,,"This is Yuri's Battle Lab, Commander. Like our own, it allows him to dramatically increase his technology.",这是尤里的战斗实验室，指挥官。就像我们自己的一样，这使他能够显著地提高他的科技
./audio_RA2/EvaLee/AlliedWar/RA2_cevau58.mp3,,,,"Yuri's Bio-Reactor can generate some power on its own, but if Yuri captures any of our troops, he will put them inside the reactors and drain additional power from their bodies.",尤里的生物反应堆可以自己产生一些能量，但如果尤里俘虏了任何我们的部队，他会将他们放入反应堆中，并从他们的身体中吸取额外的能量
./audio_RA2/EvaLee/AlliedWar/RA2_cevau59.mp3,,,,Yuri Citadel Walls are exceptionally tough. Don't expect to break them down while under fire.,尤里城墙异常坚固。不要指望在受到攻击时拆除它们
./audio_RA2/EvaLee/AlliedWar/RA2_cevau60.mp3,,,,The Cloning VAT doubles Yuri's ability to create an army your position can quickly be overrun by a swarm of initiates if you let a Cloning VAT do its work.,克隆缸使尤里创建军队的能力翻倍，如果您放任克隆缸不管的话，您的位置可能会很快被一群新兵占领
./audio_RA2/EvaLee/AlliedWar/RA2_cevau61.mp3,,,,The Gatling Cannon defense structures are lethal to both land and air units. Their cannons spin and fire faster the longer a target is within range.,加特林机炮防御结构对陆地和空中单位都是致命的。目标在射程内的时间越长，他们的机炮旋转和射击就越快
./audio_RA2/EvaLee/AlliedWar/RA2_cevau62.mp3,,,,"Yuri sees people as pounds in his game, and the Grinder proves it. Yuri mind-controls people and grinds them into resources to fund his war. It would be a fit-in to feed Yuri into his own machine.",尤里在他的游戏中将人视为英镑，而回收厂证明了这一点。尤里心灵控制人们并将他们磨成资源来为他的战争提供资金。把尤里喂到他自己的机器里倒是很合适
./audio_RA2/EvaLee/AlliedWar/RA2_cevau63.mp3,,,,Yuri uses the psychic sensor as a radar device. It also allows him to scout a remote location by looking through the eyes of enemy troops.,尤里使用心灵感应器作为雷达装置。它还使尤里能够通过敌军的眼睛来侦察一个远处的位置
./audio_RA2/EvaLee/AlliedWar/RA2_cevau64.mp3,,,,"Commander, beware of Yuri's Psychic Tower. If units get too close to it, they become mindless slaves to Yuri. Destroying the tower or cutting its power will free up any controlled units.",指挥官，小心尤里的心灵控制塔。如果单位离它太近，他们就会成为尤里的无意识奴隶。摧毁塔或切断其电源将释放任何受控单位
./audio_RA2/EvaLee/AlliedWar/RA2_cevau65.mp3,,,,Destroy Yuri's Submarine pen to keep him from building his boomer subs. Yuri doesn't have any other way to effectively attack sea targets.,摧毁尤里的潜艇船坞，阻止他建造他的雷鸣潜艇。尤里没有任何其他方法可以有效地攻击海上目标
./audio_RA2/EvaLee/AlliedWar/RA2_cevau66.mp3,,,,Yuri's weak armor divisions are reinforced by his tank bunkers. Once inside a tank is protected from all damage.,尤里的坦克碉堡加强了尤里薄弱的装甲师。一旦进入，坦克就可以免受所有损坏
./audio_RA2/EvaLee/AlliedWar/RA2_cevau67.mp3,,,,This is Yuri's War Factory.,这是尤里的战争工厂
./audio_RA2/EvaLee/AlliedWar/RA2_cevau68.mp3,,,,Yuri has managed to develop the force shield defense system only days after we developed our own. It would seem that Yuri got a hold of one of our spies.,尤里在我们开发了自己的防御系统后几天就成功地开发了力场护盾防御系统。似乎尤里抓住了我们的一个间谍
./audio_RA2/EvaLee/AlliedWar/RA2_cevau69.mp3,,,,"Yuri's Genetic Mutator can turn anyone at targets into a mutated Brute. Get your men out of your base before this goes off, or you'll have an army of brutes inside your walls.",尤里的基因突变器可以将目标中的任何人变成变异的狂兽人。在这件事发生之前让你的人离开你的基地，否则你的墙内会有一群狂兽人大军
./audio_RA2/EvaLee/AlliedWar/RA2_cevau70.mp3,,,,"If we don't put an end to Yuri's Psychic Dominator, it will put an end to all mankind. It can enslave any of your troops or vehicles and turn them against you. Don't let Yuri turn our troops against us, sir.",如果我们不终结尤里的心灵控制器，它将终结全人类。它可以奴役你的任何部队或车辆，并让他们反抗你。不要让尤里让我们的部队反抗我们，长官
./audio_RA2/EvaLee/AlliedWar/RA2_cevau71.mp3,,,,"Sir, our new Battle Fortress crushes enemy armor that crosses its path while it carries our soldiers to battle, plus everyone inside can fire from its many gunports.",长官，我们的新战斗要塞可以在载着我们的士兵上战场时粉碎穿过其路径的敌人装甲，而且里面的每个人都可以从它的许多炮口开火
./audio_RA2/EvaLee/AlliedWar/RA2_cevau72.mp3,,,,The Korean Black Eagle Squadron will provide air support in our fight against Yuri. Theirs are the most lethal planes in the air.,韩国黑鹰中队将在我们与尤里的战斗中提供空中支援。他们的飞机是空中最致命的飞机
./audio_RA2/EvaLee/AlliedWar/RA2_cevau73.mp3,,,,The Force Shield defense system was designed to protect our bases against Soviet nuclear assault. Hopefully it will defend against Yuri's weapons also.,力场护盾防御系统旨在保护我们的基地免受苏联核攻击。希望它也能抵御尤里的武器
./audio_RA2/EvaLee/AlliedWar/RA2_cevau74.mp3,,,,The French Grand Cannon is a devastating base defense turret. It’s effective against even large-scale assaults.,法国巨炮是一个毁灭性的基地防御炮塔。即使是大规模的攻击也能有效
./audio_RA2/EvaLee/AlliedWar/RA2_cevau75.mp3,,,,"Commander, these are Guardian GIs. They're armed with both machine guns and anti-tank rockets. When deployed, they are able to reduce a tank into scrap metal in seconds.",指挥官，这是重装大兵。他们装备有机枪和反坦克火箭。部署后，他们能够在几秒钟内将坦克变成废金属
./audio_RA2/EvaLee/AlliedWar/RA2_cevau76.mp3,,,,"GI Paratroopers can drop into any location, use them to scout an area or attack an exposed enemy flank.",大兵伞兵可以降落到任何位置，用它们侦察一个区域或攻击暴露的敌方侧翼
./audio_RA2/EvaLee/AlliedWar/RA2_cevau77.mp3,,,,"Sir, this is the Robot Control Center. With it you can command our new Robot Tanks, a fast attack anti-armor robot.",长官，这里是机器人控制中心。有了它，您可以指挥我们的新型机器人坦克，这是一种快速攻击的反装甲机器人
./audio_RA2/EvaLee/AlliedWar/RA2_cevau78.mp3,,,,"This is our new robot tank. Since it has no driver, it can't be mind-controlled by Yuri. Its only weakness is that it’s linked to the Robot Control Center. If the center goes down, all robot tanks are inoperable.",这是我们的新机器人坦克。既然没有司机，就不能被尤里用意念控制。它唯一的弱点是它与机器人控制中心相连。如果中心发生故障，所有机器人坦克都无法操作。
